language,license,rightsHolder,datasetID,datasetName,taxonID,scientificName,kingdom,family,taxonRank,nomenclaturalCode
en,http://creativecommons.org/publicdomain/zero/1.0/,Botanic Garden Meise,"","The checklist of alien seed plants of D.R. Congo, based on evidence from herbarium collections",alien-flora-congo-checklist:taxon:2b7014667dc79af03116a3ab317299d9,Salvia misella Kunth,Plantae,Lamiaceae,species,ICN
en,http://creativecommons.org/publicdomain/zero/1.0/,Botanic Garden Meise,"","The checklist of alien seed plants of D.R. Congo, based on evidence from herbarium collections",alien-flora-congo-checklist:taxon:2cce516708375252b529af22f44f96ee,Ricinus communis L.,Plantae,Euphorbiaceae,species,ICN
en,http://creativecommons.org/publicdomain/zero/1.0/,Botanic Garden Meise,"","The checklist of alien seed plants of D.R. Congo, based on evidence from herbarium collections",alien-flora-congo-checklist:taxon:2d15307ffb1f456c1b40c1ea9abbbe74,Stachytarpheta urticifolia Sims,Plantae,Verbenaceae,species,ICN
en,http://creativecommons.org/publicdomain/zero/1.0/,Botanic Garden Meise,"","The checklist of alien seed plants of D.R. Congo, based on evidence from herbarium collections",alien-flora-congo-checklist:taxon:2dfe6ed86597ceadf0711aa014e35c0d,Stenotaphrum secundatum (Walter) Kuntze,Plantae,Poaceae,species,ICN
en,http://creativecommons.org/publicdomain/zero/1.0/,Botanic Garden Meise,"","The checklist of alien seed plants of D.R. Congo, based on evidence from herbarium collections",alien-flora-congo-checklist:taxon:2e002a33b58d972ab8b659aef4527889,Amaranthus caudatus L.,Plantae,Amaranthaceae,species,ICN
en,http://creativecommons.org/publicdomain/zero/1.0/,Botanic Garden Meise,"","The checklist of alien seed plants of D.R. Congo, based on evidence from herbarium collections",alien-flora-congo-checklist:taxon:2eb0c36f1046d315d05b431271d0098f,Cosmos bipinnatus Cav.,Plantae,Asteraceae,species,ICN
en,http://creativecommons.org/publicdomain/zero/1.0/,Botanic Garden Meise,"","The checklist of alien seed plants of D.R. Congo, based on evidence from herbarium collections",alien-flora-congo-checklist:taxon:2ed0fb37d0caa6f7539a1d0b5dab5fee,Ageratum houstonianum Mill.,Plantae,Asteraceae,species,ICN
en,http://creativecommons.org/publicdomain/zero/1.0/,Botanic Garden Meise,"","The checklist of alien seed plants of D.R. Congo, based on evidence from herbarium collections",alien-flora-congo-checklist:taxon:3036de13fd0dabb966d47940886981cd,Capsicum frutescens L.,Plantae,Solanaceae,species,ICN
en,http://creativecommons.org/publicdomain/zero/1.0/,Botanic Garden Meise,"","The checklist of alien seed plants of D.R. Congo, based on evidence from herbarium collections",alien-flora-congo-checklist:taxon:314ce61a24845ae8e2105e198989d864,Asclepias curassavica L.,Plantae,Apocynaceae,species,ICN
en,http://creativecommons.org/publicdomain/zero/1.0/,Botanic Garden Meise,"","The checklist of alien seed plants of D.R. Congo, based on evidence from herbarium collections",alien-flora-congo-checklist:taxon:31bd84de36bf09e44c75a01c7bd4b63b,Salvia occidentalis Sw.,Plantae,Lamiaceae,species,ICN
en,http://creativecommons.org/publicdomain/zero/1.0/,Botanic Garden Meise,"","The checklist of alien seed plants of D.R. Congo, based on evidence from herbarium collections",alien-flora-congo-checklist:taxon:31bf7f512188e683aa227a03356480fd,Amaranthus hypochondriacus  L.,Plantae,Amaranthaceae,species,ICN
en,http://creativecommons.org/publicdomain/zero/1.0/,Botanic Garden Meise,"","The checklist of alien seed plants of D.R. Congo, based on evidence from herbarium collections",alien-flora-congo-checklist:taxon:31ed91e4eb6b52b668568394d212cfe5,Ruellia togoensis (Lindau) Heine,Plantae,Acanthaceae,species,ICN
